208.114.150.255	2000-8-5	09:41:04
130.194.0.82	2000-9-16	04:51:19
137.19.155.46	2001-1-12	11:29:17
9.215.209.220	2001-1-21	05:52:34
109.193.187.250	2001-4-23	04:20:01
38.190.183.149	2001-4-30	19:52:29
222.242.3.216	2001-5-7	03:26:01
178.82.186.159	2001-9-9	11:59:59
70.76.83.106	2001-11-14	02:48:33
178.250.19.48	2001-11-30	06:00:39
198.90.191.157	2002-4-29	05:09:21
96.196.131.20	2002-6-30	01:08:39
112.95.219.167	2003-5-3	13:17:31
181.106.25.32	2003-5-26	01:22:27
198.90.143.180	2003-10-16	07:35:23
3.147.158.243	2004-5-4	08:29:20
105.168.232.146	2004-8-27	17:16:33
21.23.10.105	2004-9-1	00:26:59
115.68.169.129	2004-10-6	23:16:37
90.38.119.119	2004-11-5	15:54:21
254.197.10.151	2005-7-9	18:16:06
25.208.230.80	2005-8-16	05:12:40
88.144.109.193	2005-8-22	12:00:41
90.222.9.220	2005-8-23	07:55:32
88.130.227.206	2006-6-12	14:48:47
74.68.141.134	2006-11-6	12:40:35
111.48.40.130	2006-12-12	14:34:00
14.236.217.94	2007-3-7	19:35:08
56.235.193.7	2007-4-12	11:20:01
85.245.177.88	2007-7-9	14:09:43
156.172.176.50	2008-1-27	02:37:15
26.247.144.113	2008-2-22	07:43:09
17.45.220.183	2008-3-10	12:55:12
172.151.113.234	2008-7-22	01:50:15
67.174.156.199	2008-11-28	19:40:48
53.200.240.14	2009-7-9	09:57:13
33.15.0.199	2009-9-2	22:42:52
122.195.167.204	2009-9-5	02:16:44
207.90.163.179	2009-9-14	21:59:35
112.13.24.29	2009-9-19	13:47:47
121.248.44.180	2009-11-3	22:21:40
233.176.192.241	2009-11-15	21:44:57
212.122.235.164	2010-2-5	13:37:25
216.75.144.44	2010-3-22	17:43:00
98.48.190.77	2010-4-20	12:05:10
78.250.58.113	2010-7-26	20:56:01
2.125.135.102	2010-10-10	00:19:10
78.33.83.50	2011-8-17	06:30:02
179.125.83.190	2011-11-17	08:52:47
112.237.193.44	2011-12-5	23:39:11
47.177.204.213	2011-12-28	07:34:00
222.162.26.210	2012-2-1	05:42:09
93.27.248.127	2012-9-3	22:51:28
253.21.131.157	2012-10-20	10:58:06
199.180.159.220	2013-3-6	10:14:46
111.12.169.236	2013-3-15	04:44:52
138.6.187.198	2013-5-6	22:34:10
168.78.2.91	2013-7-4	14:58:14
164.115.204.212	2013-8-1	05:28:08
84.76.29.184	2013-8-4	21:00:02
148.28.199.229	2013-9-22	07:39:20
45.41.69.124	2014-4-17	17:23:42
133.124.246.8	2014-5-7	05:28:46
223.175.165.228	2014-7-5	07:37:26
40.196.90.48	2014-7-28	01:30:44
64.184.35.31	2014-9-18	20:30:17
108.146.138.127	2015-6-14	01:20:23
127.163.206.202	2015-7-7	16:32:35
111.77.7.245	2015-7-10	12:31:29
120.53.250.51	2015-8-8	09:41:15
101.33.56.172	2015-8-26	20:13:35
107.149.246.241	2015-9-9	18:46:13
22.131.138.254	2015-9-18	18:44:16
44.87.121.214	2015-10-26	15:53:42
179.122.224.32	2016-6-25	14:05:53
36.201.120.205	2016-7-16	09:13:07
69.172.144.165	2016-9-23	05:19:28
208.115.173.195	2016-10-6	17:46:04
251.253.17.54	2016-11-4	02:23:03
186.233.216.132	2016-11-20	04:00:22
168.156.191.153	2016-12-1	22:25:35
94.226.174.6	2017-1-10	16:47:57
72.156.231.253	2017-11-26	16:19:30
242.185.126.57	2017-12-22	13:35:32
103.93.150.213	2017-12-29	10:25:33
69.88.99.232	2018-3-1	06:04:54
174.220.90.151	2018-4-16	22:31:41
60.137.196.154	2018-4-27	19:36:00
50.220.214.191	2018-6-26	02:58:53
163.86.28.219	2018-9-21	08:57:39
49.160.216.54	2018-10-15	23:33:40
59.69.109.154	2019-4-3	09:15:06
58.201.134.238	2019-4-16	01:48:37
188.102.119.254	2019-7-19	18:01:00
83.23.37.15	2019-8-7	20:06:29
178.26.30.240	2019-10-18	05:50:18
107.160.252.248	2019-12-29	10:36:07
136.208.93.229	2020-7-22	18:50:39
104.15.231.78	2020-9-16	20:29:27
162.18.105.212	2020-12-31	02:45:13
